[10/15/20 08:46:07] [hotword]  voice_activity_end
[10/15/20 08:46:08] [hotword]  voice_activity_start
[10/15/20 08:46:09] [jarvis]   http get /status?_no_cache=1602747967939
[10/15/20 08:46:09] [hotword]  voice_activity_end
[10/15/20 08:46:10] [hotword]  voice_activity_start
[10/15/20 08:46:11] [jarvis]   http get /status?_no_cache=1602747969946
[10/15/20 08:46:12] [jarvis]   stopping processes
[10/15/20 08:46:12] [jarvis]   stopped service hotword
[10/15/20 08:46:12] [jarvis]   stopped service stt
[10/15/20 08:46:12] [jarvis]   stopped service lights
[10/15/20 08:46:12] [jarvis]   stopped service nlu
[10/15/20 08:46:12] [jarvis]   stopping processes
[10/15/20 08:46:12] [jarvis]   stopped service hotword
[10/15/20 08:46:12] [jarvis]   stopped service stt
[10/15/20 08:46:12] [jarvis]   stopped service lights
[10/15/20 08:46:12] [jarvis]   stopped service nlu
[10/15/20 08:46:19] [mqtt]     creating client 'jarvis.py'
[10/15/20 08:46:19] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:19] [mqtt]     starting event loop
[10/15/20 08:46:19] [mqtt]     adding 'on_message' callback
[10/15/20 08:46:19] [mqtt]     subscribing to 127.0.0.1:1883 jarvis/#
[10/15/20 08:46:19] [jarvis]   http get /status?_no_cache=1602747977941
[10/15/20 08:46:19] [mqtt]     creating client 'stt.py'
[10/15/20 08:46:19] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:19] [mqtt]     starting event loop
[10/15/20 08:46:19] [mqtt]     adding 'on_message' callback
[10/15/20 08:46:19] [mqtt]     subscribing to 127.0.0.1:1883 jarvis/hotword
[10/15/20 08:46:19] [mqtt]     creating client 'stt.py:mic_buffer'
[10/15/20 08:46:19] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:19] [mqtt]     starting event loop
[10/15/20 08:46:19] [mqtt]     adding 'on_message' callback
[10/15/20 08:46:19] [mqtt]     subscribing to 127.0.0.1:1883 jarvis/internal/mic_buffer_stream
[10/15/20 08:46:20] [mqtt]     creating client 'nlu.py'
[10/15/20 08:46:20] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:20] [mqtt]     starting event loop
[10/15/20 08:46:20] [mqtt]     adding 'on_message' callback
[10/15/20 08:46:20] [mqtt]     subscribing to 127.0.0.1:1883 jarvis/stt
[10/15/20 08:46:20] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/nlu -> 'started'
[10/15/20 08:46:20] [nlu]      training nlu engine
[10/15/20 08:46:20] [mqtt]     creating client 'lights.py'
[10/15/20 08:46:20] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:20] [mqtt]     starting event loop
[10/15/20 08:46:20] [mqtt]     adding 'on_message' callback
[10/15/20 08:46:20] [mqtt]     subscribing to 127.0.0.1:1883 jarvis/lights
[10/15/20 08:46:20] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/lights -> 'started'
[10/15/20 08:46:20] [mqtt]     creating client 'hotword.py'
[10/15/20 08:46:20] [mqtt]     connecting to '127.0.0.1:1883'
[10/15/20 08:46:20] [mqtt]     starting event loop
[10/15/20 08:46:21] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/hotword -> 'started'
[10/15/20 08:46:21] [hotword]  voice_activity_start
[10/15/20 08:46:21] [jarvis]   http get /status?_no_cache=1602747979942
[10/15/20 08:46:22] [hotword]  voice_activity_end
[10/15/20 08:46:23] [jarvis]   http get /status?_no_cache=1602747981942
[10/15/20 08:46:24] [stt]      starting pocketsphinx passively
[10/15/20 08:46:24] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/stt -> 'started'
[10/15/20 08:46:25] [jarvis]   http get /status?_no_cache=1602747983945
[10/15/20 08:46:26] [hotword]  voice_activity_start
[10/15/20 08:46:27] [jarvis]   http get /status?_no_cache=1602747985945
[10/15/20 08:46:29] [jarvis]   http get /stop-all?_no_cache=1602747987755
[10/15/20 08:46:29] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:29] [jarvis]   http get /status?_no_cache=1602747987946
[10/15/20 08:46:30] [hotword]  voice_activity_end
[10/15/20 08:46:30] [hotword]  voice_activity_start
[10/15/20 08:46:31] [jarvis]   http get /status?_no_cache=1602747989944
[10/15/20 08:46:31] [hotword]  voice_activity_end
[10/15/20 08:46:32] [hotword]  voice_activity_start
[10/15/20 08:46:33] [jarvis]   http get /status?_no_cache=1602747991941
[10/15/20 08:46:35] [jarvis]   http get /stop-all?_no_cache=1602747993611
[10/15/20 08:46:35] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:35] [jarvis]   http get /stop-all?_no_cache=1602747993763
[10/15/20 08:46:35] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:35] [jarvis]   http get /stop-all?_no_cache=1602747993899
[10/15/20 08:46:35] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:35] [jarvis]   http get /status?_no_cache=1602747993944
[10/15/20 08:46:35] [jarvis]   http get /stop-all?_no_cache=1602747994035
[10/15/20 08:46:35] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:35] [jarvis]   http get /stop-all?_no_cache=1602747994171
[10/15/20 08:46:35] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:36] [jarvis]   http get /stop-all?_no_cache=1602747994315
[10/15/20 08:46:36] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:36] [jarvis]   http get /stop-all?_no_cache=1602747994459
[10/15/20 08:46:36] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:36] [jarvis]   http get /stop-all?_no_cache=1602747994619
[10/15/20 08:46:36] [mqtt]     publishing message: 127.0.0.1:1883 -> jarvis/services -> 'stop-all'
[10/15/20 08:46:37] [jarvis]   http get /status?_no_cache=1602747995944
[10/15/20 08:46:39] [hotword]  voice_activity_end
[10/15/20 08:46:39] [nlu]      fininshed training (took 19.61s)
[10/15/20 08:46:39] [jarvis]   http get /status?_no_cache=1602747997947
[10/15/20 08:46:41] [jarvis]   http get /status?_no_cache=1602747999950
[10/15/20 08:46:43] [jarvis]   http get /status?_no_cache=1602748001949
[10/15/20 08:46:43] [hotword]  voice_activity_start
[10/15/20 08:46:45] [hotword]  voice_activity_end
[10/15/20 08:46:45] [jarvis]   http get /status?_no_cache=1602748003950
[10/15/20 08:46:46] [hotword]  voice_activity_start
[10/15/20 08:46:47] [hotword]  voice_activity_end
[10/15/20 08:46:47] [jarvis]   http get /status?_no_cache=1602748005945
[10/15/20 08:46:48] [hotword]  voice_activity_start
[10/15/20 08:46:49] [jarvis]   http get /status?_no_cache=1602748007943
[10/15/20 08:46:50] [hotword]  voice_activity_end
[10/15/20 08:46:51] [hotword]  voice_activity_start
[10/15/20 08:46:51] [jarvis]   http get /status?_no_cache=1602748009948
[10/15/20 08:46:52] [hotword]  voice_activity_end
[10/15/20 08:46:53] [jarvis]   http get /status?_no_cache=1602748011954
[10/15/20 08:46:54] [hotword]  voice_activity_start
[10/15/20 08:46:55] [jarvis]   http get /status?_no_cache=1602748013953
[10/15/20 08:46:56] [hotword]  voice_activity_end
[10/15/20 08:46:57] [jarvis]   http get /status?_no_cache=1602748015947
[10/15/20 08:46:58] [hotword]  voice_activity_start
[10/15/20 08:46:59] [hotword]  voice_activity_end
[10/15/20 08:46:59] [jarvis]   http get /status?_no_cache=1602748017952
[10/15/20 08:47:00] [hotword]  voice_activity_start
[10/15/20 08:47:01] [jarvis]   http get /status?_no_cache=1602748019941
[10/15/20 08:47:03] [jarvis]   http get /status?_no_cache=1602748021943
[10/15/20 08:47:04] [hotword]  voice_activity_end
[10/15/20 08:47:04] [hotword]  voice_activity_start
[10/15/20 08:47:05] [jarvis]   http get /status?_no_cache=1602748023943
[10/15/20 08:47:05] [hotword]  voice_activity_end
[10/15/20 08:47:07] [hotword]  voice_activity_start
[10/15/20 08:47:07] [jarvis]   http get /status?_no_cache=1602748025946
[10/15/20 08:47:08] [hotword]  voice_activity_end
[10/15/20 08:47:09] [jarvis]   http get /status?_no_cache=1602748027943
[10/15/20 08:47:10] [hotword]  voice_activity_start
[10/15/20 08:47:11] [jarvis]   http get /status?_no_cache=1602748029942
[10/15/20 08:47:11] [hotword]  voice_activity_end
[10/15/20 08:47:12] [hotword]  voice_activity_start
[10/15/20 08:47:13] [hotword]  voice_activity_end
[10/15/20 08:47:13] [jarvis]   http get /status?_no_cache=1602748031946
[10/15/20 08:47:14] [hotword]  voice_activity_start
[10/15/20 08:47:15] [hotword]  voice_activity_end
[10/15/20 08:47:15] [jarvis]   http get /status?_no_cache=1602748033941
[10/15/20 08:47:15] [hotword]  voice_activity_start
[10/15/20 08:47:17] [jarvis]   http get /status?_no_cache=1602748035943
[10/15/20 08:47:18] [hotword]  voice_activity_end
[10/15/20 08:47:19] [hotword]  voice_activity_start
[10/15/20 08:47:19] [jarvis]   http get /status?_no_cache=1602748037941
[10/15/20 08:47:20] [hotword]  voice_activity_end
[10/15/20 08:47:20] [hotword]  voice_activity_start
[10/15/20 08:47:21] [jarvis]   http get /status?_no_cache=1602748039948
[10/15/20 08:47:21] [hotword]  voice_activity_end
[10/15/20 08:47:22] [hotword]  voice_activity_start
[10/15/20 08:47:23] [jarvis]   http get /status?_no_cache=1602748041949
[10/15/20 08:47:24] [hotword]  voice_activity_end
